[2026-06-22T23:35:28.419Z] GET https://fonts.googleapis.com/css2?family=Archivo:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → 200 (1ms, 10752B)
[2026-06-22T23:35:28.419Z] GET http://localhost:8794/assets/site.css → 200 (2ms, 39457B)
[2026-06-22T23:35:28.419Z] GET http://localhost:8794/assets/footer-sky-clean.png → 200 (2ms, 308802B)
[2026-06-22T23:35:28.419Z] GET http://localhost:8794/assets/oc-logo.png → 200 (2ms, 93952B)
[2026-06-22T23:35:28.419Z] GET http://localhost:8794/assets/hero-bg.png → 200 (2ms, 4542611B)
[2026-06-22T23:35:28.419Z] GET http://localhost:8794/assets/nb2-uptown.png → 200 (2ms, 758070B)
[2026-06-22T23:35:28.420Z] GET http://localhost:8794/assets/nb2-noda.png → 200 (2ms, 669473B)
[2026-06-22T23:35:28.420Z] GET http://localhost:8794/assets/nb2-southend.png → 200 (8ms, 702150B)
[2026-06-22T23:35:28.420Z] GET http://localhost:8794/assets/nb2-plaza.png → 200 (9ms, 652249B)
[2026-06-22T23:35:28.420Z] GET http://localhost:8794/assets/banner-lynx.png → 200 (11ms, 410644B)
[2026-06-22T23:35:28.420Z] GET http://localhost:8794/assets/events-strip.png → 200 (12ms, 386051B)
[2026-06-22T23:35:28.420Z] GET http://localhost:8794/assets/hoop.jpg → 200 (12ms, 545305B)
[2026-06-22T23:35:28.420Z] GET http://localhost:8794/assets/concierge-widget.js → 200 (2ms, 20870B)
[2026-06-22T23:35:28.420Z] GET http://localhost:8794/assets/cart.js → 200 (8ms, 6037B)
[2026-06-22T23:35:28.420Z] GET http://localhost:8794/assets/filters.js → 200 (8ms, 12425B)
[2026-06-22T23:35:28.420Z] GET http://localhost:8794/assets/search.js → 200 (12ms, 3228B)
[2026-06-22T23:35:28.423Z] GET http://localhost:8794/ai/catalog.json → 200 (12ms, 4657B)
[2026-06-22T23:35:28.423Z] GET http://localhost:8794/assets/sn_157811.jpg → 200 (9ms, 71681B)
[2026-06-22T23:35:28.431Z] GET https://fonts.gstatic.com/s/archivo/v25/k3kPo8UDI-1M0wlSV9XAw6lQkqWY8Q82sLydOxKsv4Rn.woff2 → 200 (1ms, 34940B)
[2026-06-22T23:35:28.431Z] GET http://localhost:8794/ai/catalog.json → 200 (1ms, 4657B)
[2026-06-22T23:35:28.461Z] GET http://localhost:8794/assets/pair.jpg → 200 (10ms, 129291B)
[2026-06-22T23:35:28.461Z] GET http://localhost:8794/assets/sn_155148.jpg → 200 (10ms, 144993B)
[2026-06-22T23:35:28.462Z] GET http://localhost:8794/assets/products/oc-014.jpg → 404 (9ms, 460B)
[2026-06-22T23:35:28.462Z] GET http://localhost:8794/assets/products/oc-021.jpg → 404 (9ms, 460B)
[2026-06-22T23:35:28.462Z] GET http://localhost:8794/assets/products/oc-033.jpg → 404 (10ms, 460B)
[2026-06-22T23:35:28.462Z] GET http://localhost:8794/assets/products/oc-040.jpg → 404 (10ms, 460B)
[2026-06-22T23:35:28.462Z] GET http://localhost:8794/assets/products/oc-052.jpg → 404 (9ms, 460B)
[2026-06-22T23:35:28.462Z] GET http://localhost:8794/assets/products/oc-058.jpg → 404 (10ms, 460B)
[2026-06-22T23:35:28.462Z] GET http://localhost:8794/assets/products/oc-061.jpg → 404 (10ms, 460B)
[2026-06-22T23:35:28.462Z] GET http://localhost:8794/assets/products/oc-067.jpg → 404 (10ms, 460B)
[2026-06-22T23:35:28.473Z] GET http://localhost:8794/assets/sn_153918.jpg → 200 (1ms, 84235B)
[2026-06-22T23:35:28.473Z] GET http://localhost:8794/assets/sn_154350.jpg → 200 (1ms, 168187B)
[2026-06-22T23:35:28.473Z] GET http://localhost:8794/assets/sn_159534.jpg → 200 (1ms, 109787B)
[2026-06-22T23:35:28.473Z] GET http://localhost:8794/assets/sn_154929.jpg → 200 (2ms, 197298B)
[2026-06-22T23:35:28.473Z] GET http://localhost:8794/assets/sn_154221.jpg → 200 (2ms, 60347B)
[2026-06-22T23:47:51.273Z] GET http://localhost:8799/index.html → 200 (3ms, 7823B)
[2026-06-22T23:47:51.280Z] GET https://fonts.googleapis.com/css2?family=Archivo:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → 200 (1ms, 10752B)
[2026-06-22T23:47:51.280Z] GET http://localhost:8799/assets/site.css → 200 (2ms, 39457B)
[2026-06-22T23:47:51.280Z] GET http://localhost:8799/assets/footer-sky-clean.png → 200 (2ms, 308802B)
[2026-06-22T23:47:51.280Z] GET http://localhost:8799/assets/oc-logo.png → 200 (2ms, 93952B)
[2026-06-22T23:47:51.280Z] GET http://localhost:8799/assets/hero-bg.png → 200 (3ms, 4542611B)
[2026-06-22T23:47:51.280Z] GET http://localhost:8799/assets/nb2-uptown.png → 200 (4ms, 758070B)
[2026-06-22T23:47:51.280Z] GET http://localhost:8799/assets/nb2-noda.png → 200 (4ms, 669473B)
[2026-06-22T23:47:51.280Z] GET http://localhost:8799/assets/nb2-southend.png → 200 (9ms, 702150B)
[2026-06-22T23:47:51.280Z] GET http://localhost:8799/assets/nb2-plaza.png → 200 (9ms, 652249B)
[2026-06-22T23:47:51.280Z] GET http://localhost:8799/assets/banner-lynx.png → 200 (10ms, 410644B)
[2026-06-22T23:47:51.280Z] GET http://localhost:8799/assets/events-strip.png → 200 (9ms, 386051B)
[2026-06-22T23:47:51.280Z] GET http://localhost:8799/assets/hoop.jpg → 200 (10ms, 545305B)
[2026-06-22T23:47:51.281Z] GET http://localhost:8799/assets/concierge-widget.js → 200 (4ms, 20987B)
[2026-06-22T23:47:51.281Z] GET http://localhost:8799/assets/cart.js → 200 (3ms, 6037B)
[2026-06-22T23:47:51.281Z] GET http://localhost:8799/assets/filters.js → 200 (5ms, 12425B)
[2026-06-22T23:47:51.281Z] GET http://localhost:8799/assets/search.js → 200 (18ms, 3228B)
[2026-06-22T23:47:51.286Z] GET http://localhost:8799/ai/catalog.json → 200 (15ms, 4657B)
[2026-06-22T23:47:51.286Z] GET http://localhost:8799/assets/pep.png → 200 (8ms, 413381B)
[2026-06-22T23:47:51.286Z] GET http://localhost:8799/assets/sn_157811.jpg → 200 (8ms, 71681B)
[2026-06-22T23:47:51.288Z] GET https://fonts.gstatic.com/s/archivo/v25/k3kPo8UDI-1M0wlSV9XAw6lQkqWY8Q82sLydOxKsv4Rn.woff2 → 200 (2ms, 34940B)
[2026-06-22T23:47:51.288Z] GET http://localhost:8799/ai/catalog.json → 200 (11ms, 4657B)
[2026-06-22T23:47:51.331Z] GET http://localhost:8799/assets/pair.jpg → 200 (1ms, 129291B)
[2026-06-22T23:47:51.331Z] GET http://localhost:8799/assets/sn_155148.jpg → 200 (1ms, 144993B)
[2026-06-22T23:47:51.331Z] GET http://localhost:8799/assets/products/oc-014.jpg → 404 (?ms, 460B)
[2026-06-22T23:47:51.331Z] GET http://localhost:8799/assets/products/oc-021.jpg → 404 (1ms, 460B)
[2026-06-22T23:47:51.331Z] GET http://localhost:8799/assets/products/oc-033.jpg → 404 (1ms, 460B)
[2026-06-22T23:47:51.331Z] GET http://localhost:8799/assets/products/oc-040.jpg → 404 (1ms, 460B)
[2026-06-22T23:47:51.331Z] GET http://localhost:8799/assets/products/oc-052.jpg → 404 (1ms, 460B)
[2026-06-22T23:47:51.331Z] GET http://localhost:8799/assets/products/oc-058.jpg → 404 (1ms, 460B)
[2026-06-22T23:47:51.331Z] GET http://localhost:8799/assets/products/oc-061.jpg → 404 (1ms, 460B)
[2026-06-22T23:47:51.331Z] GET http://localhost:8799/assets/products/oc-067.jpg → 404 (2ms, 460B)
[2026-06-22T23:47:51.332Z] GET http://localhost:8799/assets/sn_159534.jpg → 200 (1ms, 109787B)
[2026-06-22T23:47:51.332Z] GET http://localhost:8799/assets/sn_153918.jpg → 200 (2ms, 84235B)
[2026-06-22T23:47:51.332Z] GET http://localhost:8799/assets/sn_154350.jpg → 200 (2ms, 168187B)
[2026-06-22T23:47:51.332Z] GET http://localhost:8799/assets/sn_154221.jpg → 200 (2ms, 60347B)
[2026-06-22T23:47:51.333Z] GET http://localhost:8799/assets/sn_154929.jpg → 200 (1ms, 197298B)
[2026-06-22T23:47:53.415Z] POST http://localhost:8799/chat → pending (?ms, ?B)
[2026-06-22T23:47:54.250Z] GET http://localhost:8799/assets/jordan1.jpg → 200 (1ms, 115989B)
[2026-06-22T23:47:54.250Z] GET http://localhost:8799/assets/sn_160026.jpg → 200 (1ms, 183617B)
[2026-06-22T23:54:03.041Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dPIFZifjKcF5UAWdDRYEF8RXi4EwQ.woff2 → 200 (?ms, 9464B)
[2026-06-22T23:54:03.072Z] GET http://localhost:8795/index.html → 200 (3ms, 7862B)
[2026-06-22T23:54:03.077Z] GET https://fonts.googleapis.com/css2?family=Archivo:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → 200 (2ms, 10752B)
[2026-06-22T23:54:03.077Z] GET http://localhost:8795/assets/site.css → 200 (2ms, 39457B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/footer-sky-clean.png → 200 (1ms, 308802B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/oc-logo.png → 200 (1ms, 93952B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/hero-bg.png → 200 (3ms, 4542611B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/rep.png → 200 (2ms, 1109129B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/nb2-uptown.png → 200 (2ms, 758070B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/nb2-noda.png → 200 (9ms, 669473B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/nb2-southend.png → 200 (9ms, 702150B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/nb2-plaza.png → 200 (11ms, 652249B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/banner-lynx.png → 200 (10ms, 410644B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/events-strip.png → 200 (15ms, 386051B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/hoop.jpg → 200 (15ms, 545305B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/concierge-widget.js → 200 (5ms, 20987B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/cart.js → 200 (5ms, 6037B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/filters.js → 200 (6ms, 12425B)
[2026-06-22T23:54:03.078Z] GET http://localhost:8795/assets/search.js → 200 (11ms, 3228B)
[2026-06-22T23:54:03.084Z] GET http://localhost:8795/ai/catalog.json → 200 (9ms, 4657B)
[2026-06-22T23:54:03.084Z] GET http://localhost:8795/assets/pep.png → 200 (9ms, 413381B)
[2026-06-22T23:54:03.084Z] GET http://localhost:8795/assets/sn_157811.jpg → 200 (9ms, 71681B)
[2026-06-22T23:54:03.086Z] GET https://fonts.gstatic.com/s/archivo/v25/k3kPo8UDI-1M0wlSV9XAw6lQkqWY8Q82sLydOxKsv4Rn.woff2 → 200 (2ms, 34940B)
[2026-06-22T23:54:03.086Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dPIFZifjKcF5UAWdDRYEF8RXi4EwQ.woff2 → 200 (2ms, 9464B)
[2026-06-22T23:54:03.086Z] GET http://localhost:8795/ai/catalog.json → 200 (4ms, 4657B)
[2026-06-22T23:54:03.110Z] GET http://localhost:8795/assets/pair.jpg → 200 (18ms, 129291B)
[2026-06-22T23:54:03.110Z] GET http://localhost:8795/assets/sn_155148.jpg → 200 (18ms, 144993B)
[2026-06-22T23:54:03.128Z] GET http://localhost:8795/assets/products/oc-014.jpg → 404 (1ms, 460B)
[2026-06-22T23:54:03.128Z] GET http://localhost:8795/assets/products/oc-021.jpg → 404 (1ms, 460B)
[2026-06-22T23:54:03.128Z] GET http://localhost:8795/assets/products/oc-033.jpg → 404 (1ms, 460B)
[2026-06-22T23:54:03.128Z] GET http://localhost:8795/assets/products/oc-040.jpg → 404 (1ms, 460B)
[2026-06-22T23:54:03.128Z] GET http://localhost:8795/assets/products/oc-052.jpg → 404 (1ms, 460B)
[2026-06-22T23:54:03.128Z] GET http://localhost:8795/assets/products/oc-058.jpg → 404 (1ms, 460B)
[2026-06-22T23:54:03.128Z] GET http://localhost:8795/assets/products/oc-061.jpg → 404 (1ms, 460B)
[2026-06-22T23:54:03.128Z] GET http://localhost:8795/assets/products/oc-067.jpg → 404 (1ms, 460B)
[2026-06-22T23:54:03.129Z] GET http://localhost:8795/assets/sn_154221.jpg → 200 (?ms, 60347B)
[2026-06-22T23:54:03.129Z] GET http://localhost:8795/assets/sn_153918.jpg → 200 (1ms, 84235B)
[2026-06-22T23:54:03.129Z] GET http://localhost:8795/assets/sn_159534.jpg → 200 (1ms, 109787B)
[2026-06-22T23:54:03.129Z] GET http://localhost:8795/assets/sn_154350.jpg → 200 (1ms, 168187B)
[2026-06-22T23:54:03.130Z] GET http://localhost:8795/assets/sn_154929.jpg → 200 (23ms, 197298B)
[2026-06-22T23:58:27.250Z] GET http://localhost:8796/index.html → 200 (3ms, 8020B)
[2026-06-22T23:58:27.255Z] GET https://fonts.googleapis.com/css2?family=Archivo:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → 200 (1ms, 10752B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/site.css → 200 (1ms, 39457B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/footer-sky-clean.png → 200 (1ms, 308802B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/oc-logo.png → 200 (1ms, 93952B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/hero-bg.png → 200 (4ms, 4542611B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/rep.png → 200 (4ms, 1109129B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/nb2-uptown.png → 200 (4ms, 758070B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/nb2-noda.png → 200 (12ms, 669473B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/nb2-southend.png → 200 (13ms, 702150B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/nb2-plaza.png → 200 (18ms, 652249B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/banner-lynx.png → 200 (18ms, 410644B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/land.png → 200 (18ms, 984856B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/com.png → 200 (23ms, 346873B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/events-strip.png → 200 (23ms, 386051B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/hoop.jpg → 200 (26ms, 545305B)
[2026-06-22T23:58:27.255Z] GET http://localhost:8796/assets/concierge-widget.js → 200 (6ms, 20987B)
